CO_MUNICCO_MUNICCO_STATUCO_TIPO DS_NOME DS_NOMEPDS_OBSERCO_REGIACO_UF   CO_ALTERCO_ALTERIN_CAPITIN_AMAZLIN_SEMIAIN_FRONTDT_INSTADT_EXTINCO_SUCESNU_ORDEMNU_ORDMANU_LATITNU_LONGINU_ALTITNU_AREA
       0       0IGNOR   IGNOR   IgnoradoIGNORADOIgnorado,      ,       0,      ,,       N       N       N       N                                      8
  110000 1100000IGNOR   IGNOR   MunicipiMUNICIPIIgnorado       1      110,119999    0,12N       S       N       N                                      8
  314650 3146503ATIVO   MUNIC   Pains   PAINS                  3      31                N       N       N       N           1943                       1        -20,3709-45,6608     693 418,043
  314655 3146552ATIVO   MUNIC   Pai PedrPAI PEDRO              3      31                N       N       S       N           1997                       1        -15,5371-43,0706     520 785,106
  314660 3146602ATIVO   MUNIC   Paiva   PAIVA                  3      31                N       N       N       N           1953                       1        -21,2879-43,4188     568  58,313
  314670 3146701ATIVO   MUNIC   Palma   PALMA                  3      31                N       N       N       N           1890                       1        -21,3726-42,3158     172 317,983
  314675 3146750ATIVO   MUNIC   PalmopolPALMOPOLIS             3      31                N       N       N       N           1993                       1        -16,7345-40,4204     600 436,471
  314690 3146909ATIVO   MUNIC   PapagaioPAPAGAIOS              3      31                N       N       N       N           1953                       1        -19,4555-44,7447     718 552,776
  314700 3147006ATIVO   MUNIC   ParacatuPARACATU               3      31                N       N       N       N           1798                       1        -17,2197-46,8754     6878232,233
  314710 3147105ATIVO   MUNIC   Para De PARA DE MINAS          3      31                N       N       N       N           1874                       1        -19,8647-44,6054     791 550,991
  314720 3147204ATIVO   MUNIC   ParaguacPARAGUACU              3      31                N       N       N       N           1911                       1        -21,5473-45,7327     826 425,026
  314730 3147303ATIVO   MUNIC   ParaisopPARAISOPOLIS           3      31                N       N       N       N           1872                       1        -22,5552-45,7817     931  331,51
  314740 3147402ATIVO   MUNIC   ParaopebPARAOPEBA              3      31                N       N       N       N           1911                       1        -19,2814-44,4031     733 625,053
  314750 3147501ATIVO   MUNIC   PassabemPASSABEM               3      31                N       N       N       N           1962                       1         -19,351-43,1438     678  94,538
  314760 3147600ATIVO   MUNIC   Passa QuPASSA QUATRO           3      31                N       N       N       N           1888                       1        -22,3898-44,9696     938 276,568
  314770 3147709ATIVO   MUNIC   Passa TePASSA TEMPO            3      31                N       N       N       N           1911                       1        -20,6524-44,4934     980 429,444
  314780 3147808ATIVO   MUNIC   Passa-ViPASSA-VINTE            3      31                N       N       N       N           1953                       1         -22,209 -44,231     752 245,649
  314790 3147907ATIVO   MUNIC   Passos  PASSOS                 3      31                N       N       N       N           1848                       1        -20,7192-46,6114     7451339,199
  314795 3147956ATIVO   MUNIC   Patis   PATIS                  3      31                N       N       S       N           1997                       1        -16,0793-44,0827     752 444,646
  314800 3148004ATIVO   MUNIC   Patos DePATOS DE MINAS         3      31                N       N       N       N           1866                       1        -18,5926-46,5159     8323189,006
  314810 3148103ATIVO   MUNIC   PatrocinPATROCINIO             3      31                N       N       N       N           1840                       1        -18,9408-46,9974     9652866,559
  314820 3148202ATIVO   MUNIC   PatrocinPATROCINIO DO MU       3      31                N       N       N       N           1953                       1        -21,1517-42,2127     179 108,471
  314830 3148301ATIVO   MUNIC   Paula CaPAULA CANDIDO          3      31                N       N       N       N           1953                       1        -20,8702-42,9832     731  268,74
  314840 3148400ATIVO   MUNIC   PaulistaPAULISTAS              3      31                N       N       N       N           1953                       1        -18,4317-42,8726     747 220,075
  314850 3148509ATIVO   MUNIC   Pavao   PAVAO                  3      31                N       N       N       N           1962                       1        -17,4327-41,0001     228 599,369
  314860 3148608ATIVO   MUNIC   Pecanha PECANHA                3      31                N       N       N       N           1875                       1        -18,5469-42,5632     780 995,699
  314870 3148707ATIVO   MUNIC   Pedra AzPEDRA AZUL             3      31                N       N       S       N           1911                       1        -16,0059-41,2818     6171618,686
  314875 3148756ATIVO   MUNIC   Pedra BoPEDRA BONITA           3      31                N       N       N       N           1997                       1          -20,52-42,3321     900 163,504
  314880 3148806ATIVO   MUNIC   Pedra DoPEDRA DO ANTA          3      31                N       N       N       N           1962                       1         -20,596-42,7159     632 163,788
  314890 3148905ATIVO   MUNIC   Pedra DoPEDRA DO INDAIA        3      31                N       N       N       N           1962                       1        -20,2536-45,2098     837 349,092
  314900 3149002ATIVO   MUNIC   Pedra DoPEDRA DOURADA          3      31                N       N       N       N           1962                       1        -20,8299-42,1545     741  70,362
  314910 3149101ATIVO   MUNIC   PedralvaPEDRALVA               3      31                N       N       N       N           1884                       1        -22,2542 -45,466     911 217,298
  314915 3149150ATIVO   MUNIC   Pedras DPEDRAS DE MARIA        3      31                N       N       S       N           1993                       1         -15,599-44,3924     4761520,086
  314920 3149200ATIVO   MUNIC   PedrinopPEDRINOPOLIS           3      31                N       N       N       N           1962                       1        -19,2277-47,4606     918 357,689
  314930 3149309ATIVO   MUNIC   Pedro LePEDRO LEOPOLDO         3      31                N       N       N       N           1923                       1        -19,6184-44,0459     710 291,038
  314940 3149408ATIVO   MUNIC   Pedro TePEDRO TEIXEIRA         3      31                N       N       N       N           1962                       1        -21,7068-43,7455     818 113,074
  314950 3149507ATIVO   MUNIC   Pequeri PEQUERI                3      31                N       N       N       N           1953                       1        -21,8369-43,1263     571  90,929
  314960 3149606ATIVO   MUNIC   Pequi   PEQUI                  3      31                N       N       N       N           1911                       1         -19,628-44,6534     810 204,142
  314970 3149705ATIVO   MUNIC   PerdigaoPERDIGAO               3      31                N       N       N       N           1953                       1        -19,9551-45,0794     852 249,845
  314980 3149804ATIVO   MUNIC   PerdizesPERDIZES               3      31                N       N       N       N           1938                       1        -19,3387 -47,292    10002450,145
  314990 3149903ATIVO   MUNIC   Perdoes PERDOES                3      31                N       N       N       N           1911                       1        -21,0945-45,0931     842 276,978
  314995 3149952ATIVO   MUNIC   PeriquitPERIQUITO              3      31                N       N       N       N           1997                       1        -19,1545-42,2347     231 227,803
  315000 3150000ATIVO   MUNIC   PescadorPESCADOR               3      31                N       N       N       N           1962                       1        -18,3536-41,6016     442 317,615
  315010 3150109ATIVO   MUNIC   Piau    PIAU                   3      31                N       N       N       N           1953                       1        -21,5046-43,3291     462 191,378
  315015 3150158ATIVO   MUNIC   Piedade PIEDADE DE CARAT       3      31                N       N       N       N           1997                       1        -19,7592-42,0743     900 110,121
  315020 3150208ATIVO   MUNIC   Piedade PIEDADE DE PONTE       3      31                N       N       N       N           1962                       1        -20,2477-42,7352     421  84,008
  315030 3150307ATIVO   MUNIC   Piedade PIEDADE DO RIO G       3      31                N       N       N       N           1953                       1        -21,4697-44,2025    1022 322,743
  315040 3150406ATIVO   MUNIC   Piedade PIEDADE DOS GERA       3      31                N       N       N       N           1962                       1         -20,461-44,2279     995 260,633
  315050 3150505ATIVO   MUNIC   Pimenta PIMENTA                3      31                N       N       N       N           1948                       1        -20,4832-45,7991     776  415,07
  315053 3150539ATIVO   MUNIC   Pingo-D'PINGO-D'AGUA           3      31                N       N       N       N           1997                       1        -19,7286-42,4087     200   66,82
  315057 3150570ATIVO   MUNIC   PintopolPINTOPOLIS             3      31                N       N       N       N           1997                       1         -16,055-45,1495     5161238,432
  315060 3150604ATIVO   MUNIC   PiracemaPIRACEMA               3      31                N       N       N       N           1953                       1         -20,509-44,4785     872 280,358
  315070 3150703ATIVO   MUNIC   PirajubaPIRAJUBA               3      31                N       N       N       N           1953                       1        -19,9085-48,6966     525 331,793
  315080 3150802ATIVO   MUNIC   Piranga PIRANGA                3      31                N       N       N       N           1868                       1        -20,6851-43,2873     620 657,484
  315090 3150901ATIVO   MUNIC   PirangucPIRANGUCU              3      31                N       N       N       N           1962                       1        -22,5265-45,4933     907 206,417
  315100 3151008ATIVO   MUNIC   PiranguiPIRANGUINHO            3      31                N       N       N       N           1962                       1        -22,4119-45,5347     837 130,334
  315110 3151107ATIVO   MUNIC   PirapetiPIRAPETINGA            3      31                N       N       N       N           1938                       1         -21,656-42,3484     152  192,23
  315120 3151206ATIVO   MUNIC   PiraporaPIRAPORA               3      31                N       N       N       N           1911                       1        -17,3496-44,9511     489  575,46
  315130 3151305ATIVO   MUNIC   Pirauba PIRAUBA                3      31                N       N       N       N           1953                       1        -21,2766-43,0181     374 143,982
  315140 3151404ATIVO   MUNIC   PitanguiPITANGUI               3      31                N       N       N       N           1715                       1        -19,6806-44,8901     709 568,332
  315150 3151503ATIVO   MUNIC   Piumhi  PIUMHI                 3      31                N       N       N       N           1841                       1        -20,4709-45,9606     793 902,348
  315160 3151602ATIVO   MUNIC   Planura PLANURA                3      31                N       N       N       N           1962                       1        -20,1387-48,6999     492 317,992
  315170 3151701ATIVO   MUNIC   Poco FunPOCO FUNDO             3      31                N       N       N       N           1923                       1        -21,7847 -45,965     836 474,228
  315180 3151800ATIVO   MUNIC   Pocos DePOCOS DE CALDAS        3      31                N       N       N       N           1888                       1        -21,7874-46,5664    1196  544,42
  315190 3151909ATIVO   MUNIC   Pocrane POCRANE                3      31                N       N       N       N           1948                       1        -19,6201 -41,629     225 691,475
  315200 3152006ATIVO   MUNIC   Pompeu  POMPEU                 3      31                N       N       N       N           1938                       1         -19,221-45,0019     6572557,734
  315210 3152105ATIVO   MUNIC   Ponte NoPONTE NOVA             3      31                N       N       N       N           1857                       1        -20,4166-42,9097     431 470,338
  315213 3152131ATIVO   MUNIC   Ponto ChPONTO CHIQUE           3      31                N       N       N       N           1997                       1         -16,633-45,0631     470 602,367
  315217 3152170ATIVO   MUNIC   Ponto DoPONTO DOS VOLANT       3      31                N       N       S       N           1997                       1        -16,7545-41,5078     4001215,189
  315220 3152204ATIVO   MUNIC   PorteiriPORTEIRINHA            3      31                N       N       S       N           1938                       1        -15,7468-43,0285     5661806,253
  315230 3152303ATIVO   MUNIC   Porto FiPORTO FIRME            3      31                N       N       N       N           1953                       1        -20,6683-43,0914     595 285,005
  315240 3152402ATIVO   MUNIC   Pote    POTE                   3      31                N       N       N       N           1938                       1        -17,8014-41,7884     594 632,692
  315250 3152501ATIVO   MUNIC   Pouso AlPOUSO ALEGRE           3      31                N       N       N       N           1831                       1        -22,2303-45,9371     832 543,883
  315260 3152600ATIVO   MUNIC   Pouso AlPOUSO ALTO             3      31                N       N       N       N           1874                       1        -22,1909-44,9753     884 261,211
  315270 3152709ATIVO   MUNIC   Prados  PRADOS                 3      31                N       N       N       N           1890                       1         -21,056-44,0733     979  261,41
  315280 3152808ATIVO   MUNIC   Prata   PRATA                  3      31                N       N       N       N           1854                       1        -19,3082-48,9238     6304856,626
  315290 3152907ATIVO   MUNIC   PratapolPRATAPOLIS             3      31                N       N       N       N           1943                       1        -20,7442-46,8609     742 214,345
  315300 3153004ATIVO   MUNIC   PratinhaPRATINHA               3      31                N       N       N       N           1948                       1        -19,7569-46,3784    1162 619,296
  315310 3153103ATIVO   MUNIC   PresidenPRESIDENTE BERNA       3      31                N       N       N       N           1989                       1        -20,7657-43,1901     591 236,929
  315320 3153202ATIVO   MUNIC   PresidenPRESIDENTE JUSCE       3      31                N       N       N       N           1962                       1        -18,6408-44,0542     596 696,639
  315330 3153301ATIVO   MUNIC   PresidenPRESIDENTE KUBIT       3      31                N       N       N       N           1962                       1        -18,6155-43,5574    1109 189,546
  315340 3153400ATIVO   MUNIC   PresidenPRESIDENTE OLEGA       3      31                N       N       N       N           1938                       1        -18,4147-46,4178     9473531,221
  315350 3153509ATIVO   MUNIC   Alto JeqALTO JEQUITIBA         3      31                N       N       N       N           1953                       1        -20,4229-41,9672     645 152,737
  315360 3153608ATIVO   MUNIC   PrudentePRUDENTE DE MORA       3      31                N       N       N       N           1962                       1        -19,4836-44,1584     748 125,783
  315370 3153707ATIVO   MUNIC   Quartel QUARTEL GERAL          3      31                N       N       N       N           1953                       1        -19,2677-45,5589     681 555,534
  315380 3153806ATIVO   MUNIC   QueluzitQUELUZITO              3      31                N       N       N       N           1962                       1        -20,7424  -43,88     952 153,038
  315390 3153905ATIVO   MUNIC   Raposos RAPOSOS                3      31                N       N       N       N           1948                       1        -19,9656-43,8048     732   71,85
  315400 3154002ATIVO   MUNIC   Raul SoaRAUL SOARES            3      31                N       N       N       N           1923                       1         -20,102-42,4542     294 771,469
  315410 3154101ATIVO   MUNIC   Recreio RECREIO                3      31                N       N       N       N           1938                       1        -21,5338-42,4714     193  234,24
  315415 3154150ATIVO   MUNIC   Reduto  REDUTO                 3      31                N       N       N       N           1997                       1        -20,2427-41,9852     610 151,308
  315420 3154200ATIVO   MUNIC   Resende RESENDE COSTA          3      31                N       N       N       N           1911                       1        -20,9174-44,2394    1032 631,561
  315430 3154309ATIVO   MUNIC   ResplendRESPLENDOR             3      31                N       N       N       N           1938                       1        -19,3255 -41,254     1001072,112
  315440 3154408ATIVO   MUNIC   RessaquiRESSAQUINHA            3      31                N       N       N       N           1953                       1        -21,0553-43,7587    1123 188,745
  315445 3154457ATIVO   MUNIC   RiachinhRIACHINHO              3      31                N       N       N       N           1993                       1        -16,2168-46,0027     5501774,924
  315450 3154507ATIVO   MUNIC   Riacho DRIACHO DOS MACHA       3      31                N       N       S       N           1962                       1         -15,998-43,0446     8211308,545
  315460 3154606ATIVO   MUNIC   RibeiraoRIBEIRAO DAS NEV       3      31                N       N       N       N           1953                       1         -19,766-44,0858     800  154,18
  315470 3154705ATIVO   MUNIC   RibeiraoRIBEIRAO VERMELH       3      31                N       N       N       N           1948                       1        -21,1904-45,0648     808   40,21
  315480 3154804ATIVO   MUNIC   Rio AcimRIO ACIMA              3      31                N       N       N       N           1948                       1        -20,0951-43,7909     740 230,143
  315490 3154903ATIVO   MUNIC   Rio CascRIO CASCA              3      31                N       N       N       N           1911                       1        -20,2265-42,6522     333 384,174
  315500 3155009ATIVO   MUNIC   Rio DoceRIO DOCE               3      31                N       N       N       N           1962                       1        -20,2446-42,8957     380 112,305
  315510 3155108ATIVO   MUNIC   Rio Do PRIO DO PRADO           3      31                N       N       N       N           1953                       1        -16,6094-40,5719     350 479,424
  315520 3155207ATIVO   MUNIC   Rio EspeRIO ESPERA             3      31                N       N       N       N           1911                       1        -20,8581-43,4653     712 239,688
  315530 3155306ATIVO   MUNIC   Rio MansRIO MANSO              3      31                N       N       N       N           1962                       1        -20,2617-44,3102     890 232,102
  315540 3155405ATIVO   MUNIC   Rio NovoRIO NOVO               3      31                N       N       N       N           1870                       1        -21,4832-43,1287     418 207,559
  315550 3155504ATIVO   MUNIC   Rio ParaRIO PARANAIBA          3      31                N       N       N       N           1911                       1        -19,1912-46,2428    10671353,423
  315560 3155603ATIVO   MUNIC   Rio PardRIO PARDO DE MIN       3      31                N       N       S       N           1831                       1        -15,6131-42,5412     7553118,672
  315570 3155702ATIVO   MUNIC   Rio PiraRIO PIRACICABA         3      31                N       N       N       N           1911                       1        -19,9549-43,1798     639 370,355
  315580 3155801ATIVO   MUNIC   Rio PombRIO POMBA              3      31                N       N       N       N           1831                       1        -21,2722-43,1778     441  251,76
  315590 3155900ATIVO   MUNIC   Rio PretRIO PRETO              3      31                N       N       N       N           1870                       1        -22,0869-43,8295     430 347,097
  315600 3156007ATIVO   MUNIC   Rio VermRIO VERMELHO           3      31                N       N       N       N           1938                       1        -18,3011-43,0224     730 987,222
  315610 3156106ATIVO   MUNIC   RitapoliRITAPOLIS              3      31                N       N       N       N           1962                       1        -21,0233-44,3235    1051 391,839
  315620 3156205ATIVO   MUNIC   Rochedo ROCHEDO DE MINAS       3      31                N       N       N       N           1962                       1        -21,6315-43,0221     330   79,55
  315630 3156304ATIVO   MUNIC   Rodeiro RODEIRO                3      31                N       N       N       N           1962                       1        -21,2007-42,8687     336  72,029
  315640 3156403ATIVO   MUNIC   Romaria ROMARIA                3      31                N       N       N       N           1962                       1        -18,8835-47,5818     958 401,965
  315645 3156452ATIVO   MUNIC   Rosario ROSARIO DA LIMEI       3      31                N       N       N       N           1997                       1        -20,9813-42,5061     680 112,319
  315650 3156502ATIVO   MUNIC   RubelitaRUBELITA               3      31                N       N       S       N           1962                       1         -16,403-42,2648     3911109,229
  315660 3156601ATIVO   MUNIC   Rubim   RUBIM                  3      31                N       N       S       N           1943                       1         -16,373-40,5369     254 968,732
  315670 3156700ATIVO   MUNIC   Sabara  SABARA                 3      31                N       N       N       N           1711                       1        -19,8925-43,8256     723 303,564
  315680 3156809ATIVO   MUNIC   SabinopoSABINOPOLIS            3      31                N       N       N       N           1923                       1        -18,6718-43,0882     707 919,397
  315690 3156908ATIVO   MUNIC   SacramenSACRAMENTO             3      31                N       N       N       N           1870                       1        -19,8636-47,4366     8323071,454
  315700 3157005ATIVO   MUNIC   Salinas SALINAS                3      31                N       N       S       N           1880                       1        -16,1699-42,2935     4711897,169
  315710 3157104ATIVO   MUNIC   Salto DaSALTO DA DIVISA        3      31                N       N       S       N           1948                       1        -15,9976-39,9508     142 943,647
  315720 3157203ATIVO   MUNIC   Santa BaSANTA BARBARA          3      31                N       N       N       N           1839                       1        -19,9656-43,4052     732  684,21
  315725 3157252ATIVO   MUNIC   Santa BaSANTA BARBARA DO       3      31                N       N       N       N           1993                       1        -19,9758-42,1408     850 110,789
  315727 3157278ATIVO   MUNIC   Santa BaSANTA BARBARA DO       3      31                N       N       N       N           1997                       1        -21,9573-43,7018     730 416,081
  315730 3157302ATIVO   MUNIC   Santa BaSANTA BARBARA DO       3      31                N       N       N       N           1962                       1        -21,2462-43,5589     605 159,907
  315733 3157336ATIVO   MUNIC   Santa CrSANTA CRUZ DE MI       3      31                N       N       N       N           1997                       1        -21,1195-44,2233     911   2,859
  315737 3157377ATIVO   MUNIC   Santa CrSANTA CRUZ DE SA       3      31                N       N       S       N           1997                       1        -16,0944-41,7504     761 587,268
  315740 3157401ATIVO   MUNIC   Santa CrSANTA CRUZ DO ES       3      31                N       N       N       N           1948                       1        -20,2383-42,8185     412 258,335
  315750 3157500ATIVO   MUNIC   Santa EfSANTA EFIGENIA D       3      31                N       N       N       N           1962                       1        -18,8198-42,4393     741 132,183
  315760 3157609ATIVO   MUNIC   Santa FeSANTA FE DE MINA       3      31                N       N       N       N           1962                       1        -16,6874-45,4136     4932916,648
  315765 3157658ATIVO   MUNIC   Santa HeSANTA HELENA DE        3      31                N       N       N       N           1997                       1        -16,9363-40,6863     312 276,918
  315770 3157708ATIVO   MUNIC   Santa JuSANTA JULIANA          3      31                N       N       N       N           1938                       1        -19,3113-47,5271     907 727,351
  315780 3157807ATIVO   MUNIC   Santa LuSANTA LUZIA            3      31                N       N       N       N           1856                       1        -19,7676  -43,85     751 233,759
  315790 3157906ATIVO   MUNIC   Santa MaSANTA MARGARIDA        3      31                N       N       N       N           1948                       1        -20,3779-42,2525     720 256,183
  315800 3158003ATIVO   MUNIC   Santa MaSANTA MARIA DE I       3      31                N       N       N       N           1943                       1         -19,459-43,1101     506 509,698
  315810 3158102ATIVO   MUNIC   Santa MaSANTA MARIA DO S       3      31                N       N       S       N           1962                       1        -16,2476-40,1469     200 442,101
  315820 3158201ATIVO   MUNIC   Santa MaSANTA MARIA DO S       3      31                N       N       N       N           1923                       1        -18,1923-42,4178     476  623,66
  315830 3158300ATIVO   MUNIC   Santana SANTANA DA VARGE       3      31                N       N       N       N           1962                       1         -21,249-45,5071     817 172,729
  315840 3158409ATIVO   MUNIC   Santana SANTANA DE CATAG       3      31                N       N       N       N           1962                       1         -21,284-42,5546     232 162,549
  315850 3158508ATIVO   MUNIC   Santana SANTANA DE PIRAP       3      31                N       N       N       N           1948                       1        -19,0069-44,0381     6281220,985
  315860 3158607ATIVO   MUNIC   Santana SANTANA DO DESER       3      31                N       N       N       N           1953                       1        -21,9497-43,1723     372 182,207
  315870 3158706ATIVO   MUNIC   Santana SANTANA DO GARAM       3      31                N       N       N       N           1962                       1        -21,6018-44,1109    1105 202,794
  315880 3158805ATIVO   MUNIC   Santana SANTANA DO JACAR       3      31                N       N       N       N           1953                       1        -20,9017 -45,128     797 107,445
  315890 3158904ATIVO   MUNIC   Santana SANTANA DO MANHU       3      31                N       N       N       N           1962                       1        -20,1085-41,9235     650 346,964
  315895 3158953ATIVO   MUNIC   Santana SANTANA DO PARAI       3      31                N       N       N       N           1993                       1        -19,3691-42,5526     285 275,529
  315900 3159001ATIVO   MUNIC   Santana SANTANA DO RIACH       3      31                N       N       N       N           1962                       1        -19,1701-43,7115     700  676,76
  315910 3159100ATIVO   MUNIC   Santana SANTANA DOS MONT       3      31                N       N       N       N           1962                       1        -20,7897 -43,706     746 196,437
  315920 3159209ATIVO   MUNIC   Santa RiSANTA RITA DE CA       3      31                N       N       N       N           1943                       1        -22,0264-46,3386    1072 502,037
  315930 3159308ATIVO   MUNIC   Santa RiSANTA RITA DE JA       3      31                N       N       N       N           1943                       1        -22,1485-44,1004     550 437,555
  315935 3159357ATIVO   MUNIC   Santa RiSANTA RITA DE MI       3      31                N       N       N       N           1993                       1        -19,8752-42,1318     950  67,594
  315940 3159407ATIVO   MUNIC   Santa RiSANTA RITA DE IB       3      31                N       N       N       N           1962                       1        -21,5612-43,9168    1101  324,07
  315950 3159506ATIVO   MUNIC   Santa RiSANTA RITA DO IT       3      31                N       N       N       N           1962                       1        -19,3598-41,3793     320 486,539
  315960 3159605ATIVO   MUNIC   Santa RiSANTA RITA DO SA       3      31                N       N       N       N           1888                       1        -22,2533 -45,704     826 350,874
  315970 3159704ATIVO   MUNIC   Santa RoSANTA ROSA DA SE       3      31                N       N       N       N           1962                       1        -19,5326-45,9707    1011 296,342
  315980 3159803ATIVO   MUNIC   Santa ViSANTA VITORIA          3      31                N       N       N       N           1948                       1        -18,8439-50,1235     4983002,817
  315990 3159902ATIVO   MUNIC   Santo AnSANTO ANTONIO DO       3      31                N       N       N       N           1938                       1        -20,9462-44,9187    1013 491,725
  316000 3160009ATIVO   MUNIC   Santo AnSANTO ANTONIO DO       3      31                N       N       N       N           1962                       1        -21,7558-42,8116     625 201,887
  316010 3160108ATIVO   MUNIC   Santo AnSANTO ANTONIO DO       3      31                N       N       N       N           1953                       1        -20,3125-42,6139     421  129,81
  316020 3160207ATIVO   MUNIC   Santo AnSANTO ANTONIO DO       3      31                N       N       N       N           1962                       1         -18,469-43,3038     701 303,857
  316030 3160306ATIVO   MUNIC   Santo AnSANTO ANTONIO DO       3      31                N       N       N       N           1962                       1        -16,5377-40,1753     400 497,437
  316040 3160405ATIVO   MUNIC   Santo AnSANTO ANTONIO DO       3      31                N       N       N       N           1870                       1        -20,0872-45,2939     9191129,365
  316045 3160454ATIVO   MUNIC   Santo AnSANTO ANTONIO DO       3      31                N       N       S       N           1997                       1        -15,3426-42,6244     815 796,872
  316050 3160504ATIVO   MUNIC   Santo AnSANTO ANTONIO DO       3      31                N       N       N       N           1962                       1        -19,2257-43,2531     550 107,154
  316060 3160603ATIVO   MUNIC   Santo HiSANTO HIPOLITO         3      31                N       N       N       N           1962                       1        -18,2878-44,2217     526 430,775
  316070 3160702ATIVO   MUNIC   Santos DSANTOS DUMONT          3      31                N       N       N       N           1889                       1        -21,4575-43,5538     839 637,377
  316080 3160801ATIVO   MUNIC   Sao BentSAO BENTO ABADE        3      31                N       N       N       N           1962                       1         -21,579-45,0754     971  80,404
  316090 3160900ATIVO   MUNIC   Sao BrasSAO BRAS DO SUAC       3      31                N       N       N       N           1953                       1        -20,6265-43,9527     971 110,442
  316095 3160959ATIVO   MUNIC   Sao DomiSAO DOMINGOS DAS       3      31                N       N       N       N           1997                       1        -19,5294-42,0095     700  61,157
  316100 3161007ATIVO   MUNIC   Sao DomiSAO DOMINGOS DO        3      31                N       N       N       N           1890                       1         -19,871-42,9604     577 746,917
  316105 3161056ATIVO   MUNIC   Sao FeliSAO FELIX DE MIN       3      31                N       N       N       N           1997                       1        -18,5861-41,4904     550 165,744
  316110 3161106ATIVO   MUNIC   Sao FranSAO FRANCISCO          3      31                N       N       N       N           1831                       1        -15,9526-44,8613     6953299,801
  316120 3161205ATIVO   MUNIC   Sao FranSAO FRANCISCO DE       3      31                N       N       N       N           1962                       1        -20,7135-44,9826     931 316,414
  316130 3161304ATIVO   MUNIC   Sao FranSAO FRANCISCO DE       3      31                N       N       N       N           1962                       1        -19,8651-49,7656     4231128,745
  316140 3161403ATIVO   MUNIC   Sao FranSAO FRANCISCO DO       3      31                N       N       N       N           1953                       1        -20,7923-42,2682     729 164,023
  316150 3161502ATIVO   MUNIC   Sao GeraSAO GERALDO            3      31                N       N       N       N           1948                       1        -20,9208-42,8377     372 187,387
  316160 3161601ATIVO   MUNIC   Sao GeraSAO GERALDO DA P       3      31                N       N       N       N           1962                       1         -18,844-42,2891     292 153,527
  316165 3161650ATIVO   MUNIC   Sao GeraSAO GERALDO DO B       3      31                N       N       N       N           1997                       1        -18,9188-41,3636     210  280,01
  316170 3161700ATIVO   MUNIC   Sao GoncSAO GONCALO DO A       3      31                N       N       N       N           1943                       1        -18,3411-45,8342     789 2687,41
  316180 3161809ATIVO   MUNIC   Sao GoncSAO GONCALO DO P       3      31                N       N       N       N           1948                       1        -19,9857-44,8572     739 265,578
  316190 3161908ATIVO   MUNIC   Sao GoncSAO GONCALO DO R       3      31                N       N       N       N           1962                       1        -19,8318 -43,348     627 364,631
  316200 3162005ATIVO   MUNIC   Sao GoncSAO GONCALO DO S       3      31                N       N       N       N           1878                       1        -21,8919-45,5946     868 517,974
  316210 3162104ATIVO   MUNIC   Sao GotaSAO GOTARDO            3      31                N       N       N       N           1911                       1        -19,3127-46,0531    1055 853,745
  316220 3162203ATIVO   MUNIC   Sao JoaoSAO JOAO BATISTA       3      31                N       N       N       N           1948                       1         -20,639-46,5035     695 553,346
  316225 3162252ATIVO   MUNIC   Sao JoaoSAO JOAO DA LAGO       3      31                N       N       N       N           1997                       1        -16,8521-44,3491     835 989,854
  316230 3162302ATIVO   MUNIC   Sao JoaoSAO JOAO DA MATA       3      31                N       N       N       N           1962                       1        -21,9349-45,9265     884   120,5
  316240 3162401ATIVO   MUNIC   Sao JoaoSAO JOAO DA PONT       3      31                N       N       S       N           1943                       1        -15,9245 -44,009     7521849,188
  316245 3162450ATIVO   MUNIC   Sao JoaoSAO JOAO DAS MIS       3      31                N       N       S       N           1997                       1        -14,8825-44,0813     505 675,089
  316250 3162500ATIVO   MUNIC   Sao JoaoSAO JOAO DEL REI       3      31                N       N       N       N           1714                       1        -21,1355 -44,261     9101463,593
  316255 3162559ATIVO   MUNIC   Sao JoaoSAO JOAO DO MANH       3      31                N       N       N       N           1993                       1        -20,3955-42,1522     852  142,51
  316257 3162575ATIVO   MUNIC   Sao JoaoSAO JOAO DO MANT       3      31                N       N       N       N           1993                       1        -18,7278-41,1587       0 139,388
  316260 3162609ATIVO   MUNIC   Sao JoaoSAO JOAO DO ORIE       3      31                N       N       N       N           1962                       1        -19,3377-42,1565     240 120,237
  316265 3162658ATIVO   MUNIC   Sao JoaoSAO JOAO DO PACU       3      31                N       N       N       N           1997                       1        -16,5384-44,5296     675 420,462
  316270 3162708ATIVO   MUNIC   Sao JoaoSAO JOAO DO PARA       3      31                N       N       S       N           1943                       1        -15,3184-42,0114     7801921,172
  316280 3162807ATIVO   MUNIC   Sao JoaoSAO JOAO EVANGEL       3      31                N       N       N       N           1911                       1        -18,5452 -42,776     690  478,82
  316290 3162906ATIVO   MUNIC   Sao JoaoSAO JOAO NEPOMUC       3      31                N       N       N       N           1880                       1        -21,5357-43,0113     370 407,896
  316292 3162922ATIVO   MUNIC   Sao JoaqSAO JOAQUIM DE B       3      31                N       N       N       N           1997                       1        -20,0635-44,2663     758  72,455
  316294 3162948ATIVO   MUNIC   Sao JoseSAO JOSE DA BARR       3      31                N       N       N       N           1997                       1        -20,7221-46,3193     730 312,496
  316295 3162955ATIVO   MUNIC   Sao JoseSAO JOSE DA LAPA       3      31                N       N       N       N           1993                       1        -19,6986  -43,96     120  48,636
